;;;;;;;;;;;;;;
;Model;MSE;MAPE;ARV;;Model;MSE;MAPE;ARV;mean;class;dp;cv;
M. Individuais;MLPGA_1;0.0190;0.2878;1.1539;;MLPGA_1;7;7;7;7.0;9;0.0000;0.00%;
;MLPGA_2;0.0187;0.2848;1.1482;;MLPGA_2;5;2;5;4.0;2;1.4142;35.36%;
;MLPGA_3;0.0189;0.2844;1.1813;;MLPGA_3;6;1;9;5.3;6;3.2998;61.87%;
;MLPGA_4;0.0187;0.2874;1.1388;;MLPGA_4;4;6;3;4.3;4;1.2472;28.78%;
;MLPGA_5;0.0193;0.2947;1.1127;;MLPGA_5;9;9;1;6.3;8;3.7712;59.55%;
;MLPGA_6;0.0192;0.2907;1.1222;;MLPGA_6;8;8;2;6.0;7;2.8284;47.14%;
;MLPGA_7;0.0185;0.2852;1.1734;;MLPGA_7;1;3;8;4.0;2;2.9439;73.60%;
C. Estáticos;SA;0.0186;0.2855;1.1489;;SA;3;4;6;4.3;4;1.2472;28.78%;
;SM;0.0186;0.2855;1.1449;;SM;2;5;4;3.7;1;1.2472;34.02%;
;MV;;;;;MV;;;;;;;;
;cSVR;;;;;cSVR;;;;;;;;
;cMLP;;;;;cMLP;;;;;;;;
C. Dinâmicos;PALR;;;;;PALR;;;;;;;;
;CP;;;;;CP;;;;;;;;
;DVS;;;;;DVS;;;;;;;;
;-;;;;;-;;;;;;;;
;-;;;;;-;;;;;;;;
;;;;;;;;;;;;;;
