seed;ar;nh1;lr;af
1;10;15;2;1
2;10;15;1;2
3;10;14;3;2
4;10;17;4;2
5;10;17;4;2
6;11;14;2;2
7;12;15;2;1
8;11;14;2;1
9;11;16;2;2
10;11;10;3;2
11;10;11;2;2
12;11;12;3;2
13;10;12;2;3
14;11;15;2;2
15;11;17;2;2
16;11;15;2;2
17;10;15;2;2
18;11;15;3;2
19;11;8;3;1
20;11;19;2;2
21;11;17;4;2
22;12;15;3;1
23;11;12;3;2
24;11;11;2;2
25;11;20;3;2
26;10;19;2;2
27;10;8;3;2
28;11;10;3;2
29;11;14;2;2
30;10;19;3;2
31;10;16;3;1
32;11;16;2;2
33;11;15;3;2
34;11;18;3;1
35;11;13;3;2
36;10;17;2;2
37;11;9;3;1
38;11;17;3;1
39;10;17;2;1
40;11;18;2;2
41;11;13;3;2
42;11;19;3;2
43;11;15;3;2
44;11;19;2;1
45;11;17;2;2
46;12;12;2;2
47;11;14;3;2
48;11;14;2;2
49;11;14;2;2
50;10;19;2;2
