"","ar","nh1","lr","af"
"1",10,15,2,2
"2",10,14,2,2
"3",10,16,3,2
"4",10,17,4,2
"5",10,17,3,1
"6",11,14,2,2
"7",12,15,2,1
"8",11,14,3,1
"9",11,15,2,2
"10",11,9,3,2
"11",11,12,2,2
"12",10,12,3,2
"13",10,12,3,2
"14",11,16,2,2
"15",11,17,2,2
"16",10,15,2,2
"17",10,15,2,2
"18",10,15,3,2
"19",11,8,3,1
"20",11,18,2,1
"21",11,17,4,2
"22",12,15,3,2
"23",11,12,3,2
"24",11,11,2,2
"25",9,17,2,2
"26",10,19,3,2
"27",11,16,2,2
"28",11,10,3,2
"29",12,13,2,1
"30",10,14,3,1
"31",10,14,2,2
"32",10,17,2,2
"33",11,15,2,2
"34",12,7,3,2
"35",11,13,3,2
"36",10,20,1,2
"37",11,9,2,1
"38",11,13,3,1
"39",10,16,2,1
"40",11,19,3,2
"41",11,12,2,2
"42",12,16,3,2
"43",11,15,3,2
"44",11,19,2,1
"45",11,17,3,1
"46",12,12,1,2
"47",11,16,3,1
"48",11,14,2,2
"49",11,12,3,2
"50",10,20,4,1
